M_ID,Start_date,End_date
31,1979-11-05,1983-05-16
495,2014-09-26,2034-04-11
795,1983-10-23,2002-07-13
33,1994-06-06,2012-06-01
882,2001-06-02,2014-07-26
657,1986-06-20,2006-07-22
761,1974-03-11,1980-10-27
20,1971-11-24,1984-11-24
356,2009-05-31,2014-10-02
301,2018-03-24,2035-12-29
450,1973-09-07,1983-01-08
782,2001-09-27,2014-10-25
820,2012-04-29,2024-09-11
316,1982-06-02,1987-12-10
945,1975-08-10,1991-05-22
174,2014-09-14,2019-10-22
634,2004-05-18,2016-09-11
456,2015-12-30,2033-12-21
0,2015-12-30,2020-09-14
186,1983-10-23,1994-05-17
596,2014-12-30,2031-06-10
245,1995-01-03,2000-09-14
17,1979-08-05,1996-08-03
48,2003-06-11,2010-03-16
457,1974-06-06,1976-10-09
944,1994-09-13,2007-04-20
516,2003-07-11,2010-04-01
847,1992-05-28,2001-01-22
504,1979-11-16,1988-11-14
115,2010-06-16,2012-10-01
740,1971-09-13,1973-06-25
884,1995-07-02,2013-09-05
446,1998-01-11,2016-07-06
74,1982-09-06,2001-08-11
636,1999-05-09,2005-06-01
37,2004-09-17,2024-06-03
804,1997-08-24,2010-07-07
694,2003-06-03,2014-05-08
198,1998-05-07,2016-12-29
576,1976-01-04,1985-09-15
754,2010-05-14,2027-11-18
547,2006-08-19,2022-01-03
656,1983-06-12,2001-11-24
654,1998-05-12,2007-09-17
646,2013-03-15,2024-06-05
250,2014-04-17,2022-06-30
81,1971-03-29,1983-03-28
898,1979-11-16,1983-06-05
461,2017-07-10,2033-11-24
390,2007-09-06,2021-12-25
988,1984-09-25,1986-07-17
597,1979-08-05,1990-11-20
916,2009-05-31,2021-11-04
135,1982-12-13,1996-03-30
262,2010-05-01,2020-11-07
844,1985-11-24,1987-09-04
169,1976-07-30,1995-05-27
671,2003-06-03,2009-11-02
353,1988-10-03,2008-03-11
776,2017-05-03,2021-01-18
205,1992-11-10,2001-07-30
705,2005-12-06,2021-05-07
10,1995-01-03,2000-10-03
195,2011-12-05,2012-07-27
136,1977-08-28,1996-09-09
500,2010-05-14,2012-08-04
969,1981-11-11,2000-03-09
817,2002-09-23,2006-03-25
833,1994-09-13,2010-04-29
221,1982-12-31,1985-08-09
77,1996-11-18,2016-04-22
800,1989-11-30,2009-06-14
146,2000-03-28,2006-10-12
531,2009-11-26,2027-11-17
503,1998-08-06,2014-10-22
19,2010-12-17,2021-01-03
897,1998-05-07,1999-04-02
703,1986-01-29,1987-01-03
249,2001-08-16,2002-05-08
360,1979-09-15,1994-06-30
327,2017-08-13,2027-01-14
121,2012-09-15,2015-08-22
614,1986-01-29,1989-04-08
80,2005-03-25,2023-09-29
401,2001-01-15,2006-12-29
914,1985-11-17,1998-11-08
713,1976-11-04,1990-12-14
568,1990-06-07,2001-04-23
752,2014-05-23,2016-10-05
867,2008-08-14,2024-11-07
980,2002-09-26,2016-06-20
704,2013-11-25,2029-10-10
598,1986-06-20,1996-04-17
932,1985-04-08,1993-01-16
834,1997-05-25,2016-06-27
209,1981-11-18,1993-12-21
330,1994-09-13,2005-07-01
138,1994-03-18,2009-12-17
981,1977-03-20,1995-03-26
130,2005-10-15,2009-07-08
685,1974-03-11,1983-11-24
544,2018-10-02,2038-12-07
384,2002-07-25,2014-11-03
467,1982-08-15,1993-04-25
112,2004-12-13,2006-08-03
906,2012-04-29,2023-01-22
609,1993-10-07,2002-03-11
379,2003-07-11,2011-07-09
357,1979-09-07,1982-05-27
364,2013-11-11,2022-09-22
69,1975-08-10,1986-06-30
973,2008-12-02,2026-03-24
455,1974-10-08,1988-07-09
247,1971-01-02,1982-09-13
491,2008-04-19,2021-08-19
826,2013-08-01,2024-06-08
400,2006-01-15,2020-03-04
271,2010-06-24,2029-11-03
110,2013-11-11,2022-07-31
277,2010-05-14,2017-07-23
85,1998-09-20,2018-10-29
863,2000-11-20,2008-12-13
731,1980-04-20,1986-04-18
638,2017-05-21,2023-12-15
275,1994-04-02,2004-01-16
278,1977-09-29,1987-01-10
948,2011-01-22,2016-10-11
912,1977-09-02,1979-03-18
426,2007-11-04,2025-01-06
735,1988-04-12,2002-07-22
666,1988-01-24,2007-06-21
888,2008-08-09,2010-06-12
310,1972-04-24,1982-03-12
43,1982-09-06,1995-06-11
722,1982-03-23,1997-04-13
233,1999-06-04,2015-12-24
392,1976-12-15,1978-12-15
527,1973-11-27,1981-10-16
767,1973-09-07,1976-10-14
650,1984-10-03,1991-03-16
908,2006-01-15,2024-07-28
955,1977-09-29,1992-07-18
106,2006-08-19,2013-01-07
410,2013-03-10,2032-07-12
311,2005-03-25,2019-09-24
830,2010-06-24,2026-11-19
805,1983-10-29,1987-08-30
351,2013-11-11,2026-11-21
529,1975-06-12,1983-01-10
52,2002-11-14,2022-12-23
30,2016-11-27,2029-06-20
421,2002-06-24,2014-01-04
696,1995-11-23,2000-06-04
788,2011-05-14,2013-09-11
590,2002-07-25,2010-12-12
417,2009-09-25,2023-03-16
635,1980-05-07,1987-10-18
549,1972-10-26,1989-12-22
877,2006-01-15,2020-05-08
690,2010-11-04,2015-03-27
164,1997-05-19,2008-01-13
279,1981-11-18,1989-04-20
574,2005-10-06,2021-04-11
222,1972-03-12,1989-11-27
640,2016-10-11,2027-08-11
896,2016-11-01,2021-07-18
318,1974-05-31,1987-07-12
953,2000-03-04,2016-01-28
681,2009-01-13,2020-01-22
972,2009-05-31,2023-09-25
407,1989-08-09,2007-08-14
226,1985-11-24,1994-09-21
762,2019-09-21,2025-08-19
872,2000-03-04,2014-12-07
473,1976-04-29,1994-07-05
248,2010-06-16,2020-05-12
416,2011-09-16,2025-12-19
425,2017-06-04,2019-12-09
435,1995-06-07,2009-07-05
370,1998-06-14,2016-04-26
406,1988-08-04,2007-05-20
976,2013-03-10,2014-01-06
349,2012-05-20,2017-11-27
595,1984-05-18,2000-03-15
366,1971-06-23,1975-06-04
39,1995-07-13,2009-08-11
978,1980-07-17,1982-04-29
623,1976-12-15,1985-06-12
751,2010-06-24,2016-03-14
899,1972-03-09,1982-07-14
396,1982-04-30,1996-11-26
792,2001-06-02,2014-01-08
808,2014-04-17,2033-12-04
903,2013-11-25,2017-05-01
335,1984-10-19,1996-07-15
784,1994-06-06,2008-05-24
683,2010-08-18,2026-12-26
536,2009-08-05,2014-10-28
142,2017-05-03,2022-09-08
617,1990-08-14,1993-12-07
