Payment_ID,C_ID,SH_ID,AMOUNT,Payment_Status,Payment_Mode,Payment_Date
313cd69e-66f3-11ea-9879-7077813058ce,230,690,49302,PAID,CARD PAYMENT,2014-12-18
313dc140-66f3-11ea-a952-7077813058ce,3189,933,78698,PAID,CARD PAYMENT,1997-07-10
313eab1e-66f3-11ea-81af-7077813058ce,2216,261,69417,NOT PAID,CARD PAYMENT,
313f474a-66f3-11ea-a78b-7077813058ce,1904,445,39655,NOT PAID,COD,
3140589a-66f3-11ea-a057-7077813058ce,7342,722,87400,NOT PAID,COD,
31411bc8-66f3-11ea-a4b7-7077813058ce,7633,129,56881,PAID,CARD PAYMENT,1971-11-01
3141defa-66f3-11ea-b10e-7077813058ce,2154,489,99239,NOT PAID,COD,
3142c940-66f3-11ea-9f69-7077813058ce,5543,165,23921,NOT PAID,COD,
31444fa8-66f3-11ea-912a-7077813058ce,2332,164,67599,NOT PAID,CARD PAYMENT,
314539e6-66f3-11ea-bfa4-7077813058ce,4094,364,3725,NOT PAID,COD,
3145fd0a-66f3-11ea-958b-7077813058ce,3042,469,95516,PAID,COD,1991-05-15
31469934-66f3-11ea-8572-7077813058ce,2220,158,62528,PAID,COD,1976-06-30
3147355e-66f3-11ea-aae4-7077813058ce,4988,337,21021,NOT PAID,CARD PAYMENT,
3147f89c-66f3-11ea-8dfd-7077813058ce,175,634,99492,NOT PAID,CARD PAYMENT,
3148bbc8-66f3-11ea-8acf-7077813058ce,4233,577,60282,PAID,CARD PAYMENT,1987-08-09
31497efa-66f3-11ea-9497-7077813058ce,4351,907,20357,NOT PAID,CARD PAYMENT,
314a1b22-66f3-11ea-9e82-7077813058ce,5578,870,24053,NOT PAID,CARD PAYMENT,
314ade58-66f3-11ea-8979-7077813058ce,4523,982,50958,NOT PAID,CARD PAYMENT,
314b7a8a-66f3-11ea-97d4-7077813058ce,2972,351,68227,PAID,CARD PAYMENT,1977-07-06
314c8bcc-66f3-11ea-b526-7077813058ce,6153,328,77861,PAID,CARD PAYMENT,1997-09-08
314d761e-66f3-11ea-b155-7077813058ce,4852,242,48315,NOT PAID,CARD PAYMENT,
314eae64-66f3-11ea-b08f-7077813058ce,8106,421,83002,PAID,CARD PAYMENT,1999-03-05
314f4a7a-66f3-11ea-8b83-7077813058ce,3917,6,47650,PAID,COD,1977-11-08
315034c6-66f3-11ea-a2bf-7077813058ce,9377,384,19386,NOT PAID,COD,
31511efa-66f3-11ea-bc4c-7077813058ce,5387,286,39432,PAID,COD,2005-09-15
3151e23a-66f3-11ea-9b38-7077813058ce,6513,892,1421,PAID,COD,2019-12-12
3152a56c-66f3-11ea-9340-7077813058ce,3965,558,16113,PAID,COD,2013-11-15
31534188-66f3-11ea-8acd-7077813058ce,8893,481,52318,NOT PAID,CARD PAYMENT,
3153ddb4-66f3-11ea-a4d6-7077813058ce,1897,155,7389,NOT PAID,CARD PAYMENT,
3154c800-66f3-11ea-8721-7077813058ce,390,771,86040,PAID,COD,2013-11-15
3155d94c-66f3-11ea-b116-7077813058ce,3633,945,56148,PAID,COD,2001-08-10
31575fac-66f3-11ea-8d99-7077813058ce,7828,719,894,PAID,CARD PAYMENT,2006-07-17
315897f8-66f3-11ea-ad46-7077813058ce,2241,493,35634,NOT PAID,COD,
3159d04c-66f3-11ea-95df-7077813058ce,896,998,28701,PAID,CARD PAYMENT,2013-11-15
315aba8a-66f3-11ea-9db6-7077813058ce,6361,968,90380,PAID,CARD PAYMENT,1993-08-02
315b7db4-66f3-11ea-ae41-7077813058ce,6713,738,21813,NOT PAID,COD,
315c67f4-66f3-11ea-bcd7-7077813058ce,4283,912,36312,NOT PAID,CARD PAYMENT,
315d041c-66f3-11ea-8af9-7077813058ce,9486,782,24856,PAID,CARD PAYMENT,2002-10-20
315da042-66f3-11ea-ac04-7077813058ce,308,140,39234,PAID,CARD PAYMENT,2006-07-17
315e3c68-66f3-11ea-8d08-7077813058ce,8927,702,74222,PAID,COD,2004-11-20
315f26ac-66f3-11ea-a883-7077813058ce,249,284,47260,PAID,CARD PAYMENT,1982-03-08
315fe9e2-66f3-11ea-b80f-7077813058ce,2620,199,45432,NOT PAID,COD,
3160ad0c-66f3-11ea-961a-7077813058ce,1164,228,30192,PAID,COD,1994-04-09
31619754-66f3-11ea-911d-7077813058ce,4711,908,53868,NOT PAID,CARD PAYMENT,
3162337a-66f3-11ea-bf3c-7077813058ce,4053,594,9691,NOT PAID,CARD PAYMENT,
3162cf9c-66f3-11ea-917a-7077813058ce,4272,542,39001,NOT PAID,COD,
31636bd2-66f3-11ea-aa21-7077813058ce,7005,586,70814,NOT PAID,CARD PAYMENT,
31642f12-66f3-11ea-b553-7077813058ce,2308,636,13740,PAID,COD,2008-08-09
3164f24c-66f3-11ea-bf87-7077813058ce,5150,581,33435,NOT PAID,CARD PAYMENT,
3165b562-66f3-11ea-83de-7077813058ce,693,336,73589,NOT PAID,CARD PAYMENT,
316678a4-66f3-11ea-b7d3-7077813058ce,9598,504,18598,PAID,COD,1982-10-15
31673bc8-66f3-11ea-803a-7077813058ce,8103,346,23003,PAID,CARD PAYMENT,2007-07-12
3167d7ee-66f3-11ea-a273-7077813058ce,8894,135,80901,NOT PAID,CARD PAYMENT,
3168c236-66f3-11ea-ad73-7077813058ce,114,822,69113,PAID,COD,1991-07-15
3169fa82-66f3-11ea-a4aa-7077813058ce,6546,95,26060,NOT PAID,COD,
316abe90-66f3-11ea-b19a-7077813058ce,3571,597,25677,NOT PAID,CARD PAYMENT,
316ba7f6-66f3-11ea-913f-7077813058ce,7316,340,62912,NOT PAID,COD,
316c441e-66f3-11ea-89de-7077813058ce,2478,905,77649,PAID,CARD PAYMENT,1983-09-30
316ce042-66f3-11ea-b223-7077813058ce,1215,250,73561,PAID,COD,2006-10-22
316d7c6e-66f3-11ea-aad7-7077813058ce,5402,400,50357,NOT PAID,COD,
316e8db8-66f3-11ea-88c1-7077813058ce,1647,877,61325,PAID,CARD PAYMENT,2000-03-22
316f77f6-66f3-11ea-8aa2-7077813058ce,9423,97,76658,NOT PAID,COD,
3170141c-66f3-11ea-97a3-7077813058ce,6404,12,35525,NOT PAID,COD,
3170d834-66f3-11ea-b48e-7077813058ce,6767,353,12462,PAID,COD,2012-10-04
31717452-66f3-11ea-9fcf-7077813058ce,1278,856,27105,PAID,COD,1977-11-08
3172107a-66f3-11ea-ad07-7077813058ce,1334,1,99604,PAID,COD,2010-11-30
3172d2fa-66f3-11ea-bad5-7077813058ce,8887,390,90449,PAID,CARD PAYMENT,2009-03-09
3173e41e-66f3-11ea-b5f4-7077813058ce,9858,446,9520,NOT PAID,COD,
3174f566-66f3-11ea-98c3-7077813058ce,9636,32,42210,NOT PAID,CARD PAYMENT,
3175dfa2-66f3-11ea-b9d8-7077813058ce,9943,420,21639,NOT PAID,COD,
31767bca-66f3-11ea-848b-7077813058ce,1246,708,58736,PAID,COD,2019-07-31
317717f0-66f3-11ea-b57c-7077813058ce,4527,227,3951,PAID,CARD PAYMENT,2002-01-05
3177db2e-66f3-11ea-99fe-7077813058ce,3782,595,69479,NOT PAID,CARD PAYMENT,
3178c56c-66f3-11ea-9547-7077813058ce,6225,211,10366,PAID,COD,2006-12-23
31796190-66f3-11ea-b0b6-7077813058ce,2257,650,10001,NOT PAID,CARD PAYMENT,
3179fdb8-66f3-11ea-b117-7077813058ce,9177,45,15307,PAID,CARD PAYMENT,1996-05-01
317ac112-66f3-11ea-96bf-7077813058ce,8703,201,68923,NOT PAID,CARD PAYMENT,
317b8422-66f3-11ea-8b90-7077813058ce,3514,564,59651,PAID,COD,2004-09-25
317c204a-66f3-11ea-b627-7077813058ce,3089,138,78953,NOT PAID,CARD PAYMENT,
317ce378-66f3-11ea-b64a-7077813058ce,7253,57,89420,PAID,COD,2004-03-02
317dcdc0-66f3-11ea-a3ce-7077813058ce,8786,128,50374,NOT PAID,CARD PAYMENT,
317e69e2-66f3-11ea-8d1d-7077813058ce,1211,33,83102,NOT PAID,COD,
317f5426-66f3-11ea-9e99-7077813058ce,359,936,62151,NOT PAID,COD,
31803e5c-66f3-11ea-9cfa-7077813058ce,2066,762,84665,NOT PAID,COD,
3180da86-66f3-11ea-a8db-7077813058ce,4322,838,1760,PAID,COD,1995-08-23
318176ac-66f3-11ea-8841-7077813058ce,7773,215,30239,PAID,COD,1985-01-31
318260fe-66f3-11ea-a0f0-7077813058ce,6746,818,20194,PAID,COD,2006-10-20
31832428-66f3-11ea-9902-7077813058ce,6732,780,58470,PAID,COD,1989-10-17
31851fae-66f3-11ea-9f4d-7077813058ce,805,40,91926,NOT PAID,COD,
31863106-66f3-11ea-8b2f-7077813058ce,7540,366,34797,PAID,COD,1980-03-16
31876958-66f3-11ea-afcb-7077813058ce,5269,678,19346,NOT PAID,COD,
31885382-66f3-11ea-b84f-7077813058ce,8404,703,35185,NOT PAID,COD,
318916c0-66f3-11ea-8a7c-7077813058ce,519,180,7068,NOT PAID,CARD PAYMENT,
318a2800-66f3-11ea-b639-7077813058ce,4060,214,96496,PAID,CARD PAYMENT,1987-08-09
318b396c-66f3-11ea-9883-7077813058ce,8860,408,2988,PAID,CARD PAYMENT,1990-09-11
318cbfc6-66f3-11ea-b57f-7077813058ce,7164,902,83253,PAID,COD,1989-09-17
318d82e8-66f3-11ea-9cca-7077813058ce,9792,763,87828,PAID,COD,2014-09-09
318e4628-66f3-11ea-a70e-7077813058ce,9934,168,17035,PAID,COD,1997-06-12
318f305e-66f3-11ea-b203-7077813058ce,1980,723,426,NOT PAID,COD,
31901a98-66f3-11ea-830a-7077813058ce,9251,438,20238,PAID,COD,1977-03-30
3190ddc6-66f3-11ea-8fea-7077813058ce,6717,162,68331,PAID,CARD PAYMENT,1982-10-29
3191ef06-66f3-11ea-bb69-7077813058ce,3622,246,86132,PAID,CARD PAYMENT,2019-03-01
31930050-66f3-11ea-8535-7077813058ce,8808,105,766,NOT PAID,CARD PAYMENT,
319438b6-66f3-11ea-9722-7077813058ce,4920,308,13169,NOT PAID,COD,
319549e8-66f3-11ea-85a4-7077813058ce,3140,172,48657,PAID,COD,2004-10-26
31963430-66f3-11ea-bdc7-7077813058ce,8104,775,88037,NOT PAID,CARD PAYMENT,
31971e6e-66f3-11ea-86f5-7077813058ce,2208,333,21972,PAID,CARD PAYMENT,2013-08-11
31987dc0-66f3-11ea-a59b-7077813058ce,7043,548,87886,NOT PAID,COD,
3199b61c-66f3-11ea-ab02-7077813058ce,7485,665,3244,PAID,CARD PAYMENT,2010-04-27
319ac762-66f3-11ea-b75f-7077813058ce,1748,305,32031,PAID,COD,1992-11-01
319bfff4-66f3-11ea-8fba-7077813058ce,9968,938,51284,NOT PAID,CARD PAYMENT,
319d3826-66f3-11ea-8b8d-7077813058ce,5330,714,23055,PAID,CARD PAYMENT,2011-06-08
319e9766-66f3-11ea-9392-7077813058ce,2183,251,94926,PAID,CARD PAYMENT,2003-12-02
319fa8a8-66f3-11ea-b17c-7077813058ce,2182,330,312,NOT PAID,COD,
31a0e11a-66f3-11ea-999b-7077813058ce,1087,69,45852,PAID,COD,2018-08-30
31a1cb62-66f3-11ea-81bc-7077813058ce,4296,969,77063,PAID,CARD PAYMENT,2013-03-09
31a2b586-66f3-11ea-a9ea-7077813058ce,9784,974,44299,PAID,COD,2013-06-21
31a3c6d8-66f3-11ea-983d-7077813058ce,6210,526,67123,PAID,COD,1991-07-03
31a489fa-66f3-11ea-9155-7077813058ce,5781,510,51104,NOT PAID,COD,
31a5c242-66f3-11ea-960b-7077813058ce,8306,444,35369,NOT PAID,CARD PAYMENT,
31a6ac9c-66f3-11ea-926a-7077813058ce,3270,503,559,PAID,CARD PAYMENT,1974-05-25
31a796d0-66f3-11ea-ae4e-7077813058ce,6787,109,13394,NOT PAID,CARD PAYMENT,
31a859f0-66f3-11ea-8394-7077813058ce,3733,823,51472,PAID,CARD PAYMENT,1975-05-20
31a9925e-66f3-11ea-b9ab-7077813058ce,207,147,99367,PAID,COD,2005-09-15
31aa7c8c-66f3-11ea-bbd5-7077813058ce,3,625,98982,NOT PAID,CARD PAYMENT,
31ab66b6-66f3-11ea-b954-7077813058ce,1896,695,47111,NOT PAID,COD,
31ac02dc-66f3-11ea-8f7e-7077813058ce,9631,983,87420,NOT PAID,COD,
31aced36-66f3-11ea-b593-7077813058ce,3132,82,59376,NOT PAID,COD,
31add76e-66f3-11ea-bc98-7077813058ce,1202,397,41003,NOT PAID,CARD PAYMENT,
31ae9a98-66f3-11ea-9239-7077813058ce,8834,599,58511,NOT PAID,CARD PAYMENT,
31af36c0-66f3-11ea-9653-7077813058ce,1201,306,52868,PAID,COD,1983-07-22
31affa0a-66f3-11ea-8464-7077813058ce,2573,536,8206,PAID,CARD PAYMENT,2016-09-21
31b0e428-66f3-11ea-8884-7077813058ce,6759,20,48873,NOT PAID,CARD PAYMENT,
31b21c7a-66f3-11ea-b007-7077813058ce,2601,515,22214,NOT PAID,CARD PAYMENT,
31b2dfd8-66f3-11ea-b094-7077813058ce,2656,332,806,NOT PAID,COD,
31b3ca0a-66f3-11ea-bdb1-7077813058ce,9645,127,27590,PAID,CARD PAYMENT,2006-01-09
31b4db48-66f3-11ea-8ac6-7077813058ce,584,958,5769,NOT PAID,CARD PAYMENT,
31b6138a-66f3-11ea-a991-7077813058ce,2121,42,38290,PAID,COD,1979-09-12
31b6fdd4-66f3-11ea-8bc0-7077813058ce,2142,977,44807,PAID,CARD PAYMENT,2002-10-20
31b80f2e-66f3-11ea-9f03-7077813058ce,2396,460,11223,PAID,COD,2005-09-15
31b8ab40-66f3-11ea-a1ea-7077813058ce,8747,659,85889,PAID,COD,1998-09-11
31b96e70-66f3-11ea-9a67-7077813058ce,4142,197,57138,PAID,COD,1989-08-23
31ba31b0-66f3-11ea-b455-7077813058ce,9770,540,987,PAID,COD,1977-11-08
31bb1bfa-66f3-11ea-982b-7077813058ce,2593,178,80179,PAID,COD,2009-01-26
31bbdf14-66f3-11ea-8012-7077813058ce,9807,202,63810,PAID,CARD PAYMENT,2001-08-03
31bca246-66f3-11ea-abf6-7077813058ce,2525,632,22261,PAID,CARD PAYMENT,1992-12-25
31bd8c92-66f3-11ea-9011-7077813058ce,1724,25,37286,PAID,CARD PAYMENT,2004-05-17
31be28b0-66f3-11ea-ac89-7077813058ce,7146,990,73874,PAID,CARD PAYMENT,2003-11-28
31beebdc-66f3-11ea-a06e-7077813058ce,563,913,20187,NOT PAID,COD,
31bfaf0c-66f3-11ea-8a4e-7077813058ce,7771,371,51038,NOT PAID,COD,
31c07288-66f3-11ea-a2cf-7077813058ce,4789,514,89846,NOT PAID,COD,
31c1364c-66f3-11ea-82bf-7077813058ce,3221,707,59967,NOT PAID,CARD PAYMENT,
31c1f8b4-66f3-11ea-8397-7077813058ce,5197,473,59474,PAID,COD,2012-01-17
31c30a08-66f3-11ea-aba8-7077813058ce,8183,847,77342,NOT PAID,COD,
31c49062-66f3-11ea-ba20-7077813058ce,1126,815,57460,PAID,COD,2010-03-02
31c616ba-66f3-11ea-afb3-7077813058ce,4899,928,74930,NOT PAID,COD,
31c6b2fe-66f3-11ea-9b07-7077813058ce,4732,210,89389,NOT PAID,COD,
31c77618-66f3-11ea-bb5b-7077813058ce,4103,793,86767,NOT PAID,COD,
31c8394a-66f3-11ea-bf8e-7077813058ce,7861,872,42257,PAID,COD,2008-05-17
31c8fc98-66f3-11ea-b3c3-7077813058ce,7764,298,28987,NOT PAID,COD,
31c9e6be-66f3-11ea-9f95-7077813058ce,5345,941,38952,PAID,COD,2010-08-28
31caa9ee-66f3-11ea-bce1-7077813058ce,6191,731,50635,NOT PAID,COD,
31cb461a-66f3-11ea-a37c-7077813058ce,310,500,32800,NOT PAID,COD,
31cc0964-66f3-11ea-b6b3-7077813058ce,3095,142,67478,NOT PAID,CARD PAYMENT,
31cccd64-66f3-11ea-a4c2-7077813058ce,2159,787,24449,PAID,COD,2011-06-25
31cd8fca-66f3-11ea-97a4-7077813058ce,3569,749,3119,PAID,CARD PAYMENT,2014-07-02
31ce7a18-66f3-11ea-94eb-7077813058ce,5958,304,13693,PAID,COD,2004-09-25
31cf3d24-66f3-11ea-8054-7077813058ce,1275,30,80796,PAID,COD,2010-03-09
31d0006c-66f3-11ea-9c10-7077813058ce,6357,477,19804,NOT PAID,COD,
31d16094-66f3-11ea-b511-7077813058ce,4551,52,75766,NOT PAID,CARD PAYMENT,
31d222e8-66f3-11ea-9b54-7077813058ce,4252,73,74338,NOT PAID,COD,
31d2e636-66f3-11ea-8df2-7077813058ce,2096,691,73423,PAID,CARD PAYMENT,2012-08-20
31d3f842-66f3-11ea-a75e-7077813058ce,5209,786,91842,PAID,COD,1976-08-31
31d4bb6c-66f3-11ea-9ff7-7077813058ce,9271,68,81148,NOT PAID,COD,
31d5a4e4-66f3-11ea-861b-7077813058ce,6772,630,96963,PAID,COD,2009-09-29
31d68f18-66f3-11ea-b8c4-7077813058ce,4628,357,88092,NOT PAID,COD,
31d77952-66f3-11ea-b47a-7077813058ce,3853,455,66397,NOT PAID,CARD PAYMENT,
31d8638c-66f3-11ea-8b90-7077813058ce,515,947,1714,PAID,CARD PAYMENT,1987-04-30
31d927a2-66f3-11ea-bb48-7077813058ce,7513,589,5059,NOT PAID,CARD PAYMENT,
31d9eaca-66f3-11ea-b8c8-7077813058ce,9030,863,66582,NOT PAID,CARD PAYMENT,
31da86f6-66f3-11ea-8b12-7077813058ce,2378,668,42143,PAID,CARD PAYMENT,1972-06-16
31db9768-66f3-11ea-883c-7077813058ce,5894,206,27741,NOT PAID,COD,
31dcf6d4-66f3-11ea-a647-7077813058ce,7587,835,696,NOT PAID,CARD PAYMENT,
31de0880-66f3-11ea-ab1e-7077813058ce,1424,315,37660,NOT PAID,CARD PAYMENT,
31df1974-66f3-11ea-948f-7077813058ce,5214,553,16299,NOT PAID,CARD PAYMENT,
31e02ac0-66f3-11ea-85d7-7077813058ce,8249,861,16690,PAID,CARD PAYMENT,1996-09-13
31e163c2-66f3-11ea-a771-7077813058ce,3172,279,21003,NOT PAID,CARD PAYMENT,
31e27454-66f3-11ea-985a-7077813058ce,5489,75,93642,PAID,COD,2002-09-08
31e3aca4-66f3-11ea-b4f1-7077813058ce,2037,895,34832,NOT PAID,COD,
31e496d4-66f3-11ea-ae24-7077813058ce,2401,866,59176,PAID,COD,1995-01-01
31e5a810-66f3-11ea-b394-7077813058ce,1303,792,3846,NOT PAID,COD,
31e70780-66f3-11ea-a98c-7077813058ce,6798,191,17651,PAID,CARD PAYMENT,1989-10-17
31e7ca9a-66f3-11ea-a42b-7077813058ce,9917,59,2282,NOT PAID,CARD PAYMENT,
31e92a06-66f3-11ea-a2c3-7077813058ce,2969,748,49908,NOT PAID,CARD PAYMENT,
31ea3b58-66f3-11ea-bc9e-7077813058ce,8737,693,68886,NOT PAID,COD,
31eb4c8c-66f3-11ea-b7ad-7077813058ce,2104,955,41456,PAID,CARD PAYMENT,1992-12-27
31ebe8b4-66f3-11ea-b8ca-7077813058ce,1702,538,39488,NOT PAID,COD,
31ecabe2-66f3-11ea-9fa2-7077813058ce,8933,169,75362,PAID,COD,2017-08-24
31ed6f18-66f3-11ea-af57-7077813058ce,3624,924,73137,PAID,CARD PAYMENT,2015-03-20
31ee3246-66f3-11ea-ae6c-7077813058ce,4892,579,77570,NOT PAID,CARD PAYMENT,
